"AGENCY_ID","scaled_log_n_train_rows","scaled_n_train_years_active","scaled_mean_log_wp_train","scaled_mean_log_prev_wp_train","scaled_mean_log_prev_poly_train","scaled_sd_log_wp_train","scaled_iqr_log_wp_train","scaled_sd_log_prev_poly_train","scaled_mean_active_producers_train_clean","scaled_n_products_train","scaled_n_states_train","scaled_product_hhi","scaled_state_hhi","scaled_pl_share_train","scaled_slope_mean_log_wp_by_year"
8814,-0.542473,-1.308786,-0.24795,0.494778,-0.459102,0.359828,0.348126,0.545032,-0.173962,0.107549,0.34389,-0.392873,-0.068676,-0.689001,-2.897557
8831,0.305906,0.653219,-0.710469,-1.002747,-0.079728,0.860486,-0.817421,-0.434584,-0.731173,0.260807,-0.642924,-0.360848,0.628811,1.135383,0.149237
8843,0.475557,0.653219,1.381072,0.96983,-0.689627,0.813474,0.547387,0.609493,1.079763,0.260807,2.317516,-0.411445,-0.181366,-0.864331,0.444286
8850,0.781609,0.653219,0.806506,0.180933,-0.18559,0.816471,0.229536,0.406122,-0.731173,1.48687,-0.642924,-0.51289,0.628811,0.209789,-0.111937
8852,0.260393,0.162718,1.742533,1.126575,-0.443016,-0.193987,0.027852,1.079829,1.869145,0.107549,-0.642924,-0.384493,0.628811,-1.086417,0.689753
8876,0.147836,0.653219,-0.298075,-0.755348,-0.889431,-0.701385,-0.065483,-0.635376,-0.452567,-0.352224,-0.642924,-0.284962,0.628811,-0.422971,0.107269
8880,0.475557,0.653219,1.559246,0.650832,-0.997527,0.114095,0.204687,-0.419341,2.240619,0.260807,-0.642924,-0.40926,0.628811,-0.825369,-0.26341
8883,-1.791457,-1.308786,-2.488922,0.721604,1.601155,0.063698,-1.878853,1.354712,-0.824041,-1.578287,-0.642924,1.249459,0.628811,0.483765,-3.511009
8889,-1.552566,-2.289789,-3.804302,-2.456031,-1.284254,0.777267,-0.913431,-1.489309,-0.59187,-0.965256,-0.642924,-0.094628,0.628811,-1.137068,0.094867
8906,-0.100032,-0.327783,0.72013,0.143025,-0.598669,-0.13085,0.086051,0.599384,1.033329,-0.198966,-0.642924,-0.340981,0.628811,-0.776883,0.894456
8913,0.749789,0.653219,0.038283,-0.502219,-0.433148,0.46876,0.393671,-0.071344,-0.545436,1.180354,-0.642924,-0.502162,0.628811,0.282756,0.222668
8922,0.55306,0.653219,-0.385633,-0.753419,-0.731308,0.120736,0.3771,-0.463098,-0.545436,0.567323,-0.642924,-0.449519,0.628811,-0.225349,-0.433973
8928,0.033116,-0.327783,-0.688414,-0.875792,-0.90236,-0.642473,-0.800457,-0.797494,-0.545436,-0.352224,-0.642924,-0.326974,0.628811,-0.372524,-2.070576
8933,1.090801,0.653219,0.09911,-0.392657,-0.322919,0.896057,0.721324,0.08834,-0.173962,0.873839,0.34389,-0.465476,-1.697956,0.258473,-0.56818
8941,0.236666,-0.327783,-0.414621,-0.284851,0.113211,0.008615,-0.70052,1.018062,1.358368,0.107549,-0.642924,-0.416049,0.628811,-0.079355,0.094002
8942,0.283461,0.653219,-0.369399,-0.221488,-0.142512,-0.642038,-0.185698,0.986026,-0.081093,0.107549,-0.642924,-0.355151,0.628811,-0.363233,-0.135083
8959,1.268318,0.653219,0.309505,-0.072509,-0.305897,0.492329,0.513738,0.41213,3.447909,1.48687,2.317516,-0.467716,-2.325494,0.099413,-0.180526
8966,0.212241,0.162718,0.787296,0.409774,-0.220613,-0.16376,0.194431,1.282358,0.429683,0.414065,-0.642924,-0.393991,0.628811,-0.891487,1.379623
8969,-0.675621,-1.308786,-0.285986,0.161626,0.182516,-0.333059,-0.032897,1.848226,0.986894,-0.811998,0.34389,-0.142692,0.202609,-1.643578,2.270225
8971,0.716701,0.653219,1.243991,0.482507,-0.394917,0.198455,0.517434,0.065986,-0.638304,1.027096,-0.642924,-0.486757,0.628811,0.071084,-0.168344
8972,-0.326975,0.162718,0.533587,0.655827,-0.384823,0.385182,0.691147,1.342849,1.033329,-0.811998,-0.642924,-0.013015,0.628811,-1.643578,0.960888
8987,0.675173,0.653219,0.008851,-0.449539,-0.14262,0.134521,-0.784685,0.211633,-0.26683,1.180354,-0.642924,-0.479964,0.628811,0.404295,0.067498
