"AGENCY_ID","log_n_train_rows","n_train_years_active","mean_log_wp_train","mean_log_prev_wp_train","mean_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train_clean","n_products_train","n_states_train","product_hhi","state_hhi","pl_share_train","slope_mean_log_wp_by_year","n_train_rows","has_trend_support","n_years_for_trend"
3334,4.45434729625351,7,7.14162470974106,7.37782935440667,2.1297519661017,1.93011784587581,2.17237014831739,2.70092593401649,2,16,1,0.0726643598615917,1,0.470588235294118,0.0626279758116019,85,TRUE,7
3344,2.83321334405622,6,7.08248889343502,8.38900535413714,5.36758975361515,0.84779444807383,1.26093186746124,3.71222553094955,8,4,1,0.3203125,1,1,-0.297347186049896,16,TRUE,6
3347,5.23644196282995,7,8.44308813002823,8.67812958979966,2.13135911085902,2.61687368305471,4.07698062468621,3.34152319463191,36,20,3,0.0643713002945466,0.50956561525923,0.352941176470588,0.0818623667068911,187,TRUE,7
3351,4.83628190695148,7,8.59728834825257,8.68806034536028,2.26335272400796,2.11513533383987,3.32177597011314,2.85359578693708,10,20,1,0.054464,1,0.464,-0.0141982866071196,125,TRUE,7
3354,5.35658627467201,7,8.22517736232782,8.33467976197875,2.17671842707357,2.74178440380406,4.09715135658815,3.26678005050923,24,23,4,0.063228588755868,0.468520473484423,0.345971563981043,-0.0266943673789899,211,TRUE,7
3358,3.25809653802148,7,6.93376289080466,6.75374805261625,1.9936318377113,1.36608247915957,1.3028494630444,1.81418705810641,12,4,1,0.2608,1,0.56,-0.165127084340732,25,TRUE,7
3360,4.70048036579242,7,8.94025459696196,9.02807978060654,2.77072595934368,2.48804610128884,3.0117717414819,3.39845119854716,22,18,1,0.0623684875010521,1,0.467889908256881,-0.0527914772162486,109,TRUE,7
3370,4.70048036579242,7,9.26472147976292,9.35725525646129,2.58577888358786,2.03588296409939,3.06883960449674,3.1414436515583,6,17,1,0.0627051594983587,1,0.458715596330275,-0.000932059415845697,109,TRUE,7
3371,3.97029191355212,4,7.74715459964643,8.65890651551668,3.36219312021669,1.42348029830249,2.77641320113799,5.0647475353044,28,11,3,0.108727810650888,0.677514792899408,0.134615384615385,0.0231978751985757,52,TRUE,4
3373,5.11799381241676,7,7.88605831285633,7.94768035026226,2.885460101859,1.76467793337741,2.04572079895462,2.51050259582688,17,18,3,0.0751197561329656,0.510741762229641,0.668674698795181,-0.0294096673306627,166,TRUE,7
3378,4.969813299576,7,8.09347288918603,8.19638762476482,1.68832196267631,2.23077887127446,2.81440157915306,2.90436914369759,33,16,2,0.0747713824636902,0.568683065186562,0.286713286713287,-0.0263645719422136,143,TRUE,7
3385,4.86753445045558,7,9.21475640802594,9.25935727269127,2.71916980090391,2.09651459637853,3.33935249593771,3.18236022783292,36,20,2,0.0541433808064419,0.969472988402139,0.511627906976744,0.0826293335784555,129,TRUE,7
3395,2.30258509299405,3,5.78423340585757,7.55274552729328,3.83764182165674,1.21276922583101,2.39578152983079,5.75646273248511,9,3,1,0.333333333333333,1,0,0.465011058260031,9,TRUE,3
3407,3.2188758248682,7,7.23617117093816,8.21809077466055,5.22200760737102,2.0292703933652,3.7062632946331,3.52671782560593,11,5,1,0.243055555555556,1,1,0.406842598907229,24,TRUE,7
3417,4.85203026391962,7,8.36684202753525,8.61658929886571,3.52667688166799,2.15028266753855,2.29273910142744,3.44838139717776,6,23,2,0.0525141050282101,0.984375968751938,0.582677165354331,-0.0627064459298692,127,TRUE,7
3422,4.95582705760126,7,7.42941287538935,7.80933797447393,2.2221270670335,1.85503615724155,2.73092474571748,3.09706376716598,34,14,3,0.0779135858357226,0.493083848900961,0.446808510638298,-0.312336350097915,141,TRUE,7
3457,3.61091791264422,7,7.66236961001961,9.18577374428257,6.21237439124646,2.2242879899602,4.16875620949261,3.61315096978722,26,13,1,0.141975308641975,1,0.805555555555556,0.268212456430977,36,TRUE,7
3458,4.63472898822964,7,9.25623852435362,9.07126934500496,1.96351729819433,2.16487946385042,3.16047219857284,2.92634930293703,34,17,1,0.0665128796616686,1,0.362745098039216,0.0335695234900934,102,TRUE,7
3462,4.43081679884331,7,7.46897716858383,7.56361930685894,2.00743350299893,1.71093821323773,2.11241634737707,2.9176811312549,9,15,1,0.0762084482508347,1,0.373493975903614,0.0171111780319768,83,TRUE,7
3467,4.67282883446191,7,8.73868710069318,8.7378529514201,2.50983531657739,1.95196861587701,2.49288632974872,3.22532088436817,54,18,2,0.0630117479530082,0.962976148095408,0.424528301886792,0.020283391818109,106,TRUE,7
3468,4.14313472639153,7,7.53238574870515,7.69050737419635,1.0447414126041,1.42166365992703,1.98399348987033,3.16887326761041,5,11,1,0.0993756503642039,1,0.0645161290322581,0.160236379936243,62,TRUE,7
3469,3.71357206670431,6,6.00220275446885,6.78689654697024,2.51684301323751,1.49581089844353,2.36770579411299,4.32303041927536,16,7,1,0.145,1,0.25,0.00153189131871415,40,TRUE,6
3474,2.99573227355399,4,7.18479951235566,8.66662475147169,5.0873720883314,2.03713535324928,3.83128057862518,4.82067699202392,10,6,1,0.191135734072022,1,0.578947368421053,-0.00464494180001101,19,TRUE,4
3486,4.78749174278205,7,9.63731787115474,9.82837264383527,1.60955445342653,2.9062841126487,4.69115332198219,2.83957852404517,118,17,4,0.0667325753830944,0.774309723889556,0.302521008403361,0.236987797210691,119,TRUE,7
3487,4.54329478227,7,8.73238265416795,9.09584716356195,2.01118301917828,2.00947666995337,2.95135338675564,4.36464878354143,52,12,2,0.109261186264308,0.579142097352295,0.032258064516129,-0.0503941797309122,93,TRUE,7
3488,3.93182563272433,7,7.67503975743728,7.93204056293444,3.26368452701279,2.29271758788175,3.961589652123,3.46080850666381,3,11,1,0.1168,1,0.56,0.0792298297141082,50,TRUE,7
3498,4.89034912822175,7,8.08300744995815,8.43586984735943,3.36726878160064,2.01492775419763,2.63502760185935,3.32807584580803,25,20,2,0.0594582185491276,0.810376492194674,0.628787878787879,-0.0775271045762257,132,TRUE,7
3505,1.94591014905531,1,7.79651862477086,11.5129254649702,11.5129254649702,1.45693057787766,1.9031938885589,0,6,6,1,0.166666666666667,1,0,0,6,FALSE,1
3510,3.2188758248682,4,6.87200834168195,8.05391316178933,2.87823136624256,1.26293328562069,2.27467984963434,5.09246475486222,30,6,1,0.166666666666667,1,0,-0.106001941730435,24,TRUE,4
3512,1.79175946922805,4,6.96310565499744,7.65443556989824,3.60341168337596,1.00896927359906,0.70774700966111,0.760231882096293,11,2,1,0.68,1,1,-0.35140783109725,5,TRUE,4
3520,4.52178857704904,7,7.10115600851326,7.37855560876028,1.5060991125394,1.55675797758715,2.1418774649144,2.04439606598042,11,10,2,0.111701485327859,0.622267842048062,0.406593406593407,-0.151808084977966,91,TRUE,7
3533,2.19722457733622,1,6.12991501349921,11.5129254649702,11.5129254649702,1.31141826910127,1.47817713064771,0,11,8,1,0.125,1,0.25,0,8,FALSE,1
3545,4.82028156560504,7,8.58409062573033,8.72414156081201,3.46204995685585,1.9928542475009,1.99999425783998,3.29759483878194,14,21,1,0.0553242117787031,1,0.59349593495935,-0.032127508329206,123,TRUE,7
3556,1.6094379124341,1,6.91294323765085,11.5129254649702,11.5129254649702,2.59864190318944,3.3246491232516,0,8,4,1,0.25,1,1,0,4,FALSE,1
3557,5.7037824746562,7,8.54884494330731,8.77089515446415,2.47830631779748,2.28400875156861,3.15225698192585,3.22968864516869,65,20,4,0.0595630921354347,0.307658751020682,0.431438127090301,-0.202483231379034,299,TRUE,7
3558,2.39789527279837,3,7.78379966577972,9.44502770697881,6.29750677395034,1.37288599845768,1.74579861043503,4.63519342378298,10,4,1,0.26,1,1,0.372398945183149,10,TRUE,3
3584,2.484906649788,1,9.54227226579354,11.5129254649702,11.5129254649702,1.49075279586887,2.07357976520967,0,22,11,1,0.0909090909090909,1,0.181818181818182,0,11,FALSE,1
3586,1.79175946922805,1,6.88726333066406,7.0549125938442,3.60828351932004,1.4343134930488,2.4254358697703,1.14781508499058,14,5,1,0.2,1,1,0,5,FALSE,1
3591,0.693147180559945,1,7.06646697013696,11.5129254649702,11.5129254649702,0,0,0,2,1,1,1,1,0,0,1,FALSE,1
3597,4.7361984483945,7,8.96110537591476,9.05886057437576,2.26853055911163,1.85945359952107,2.78650718972712,2.77210839212202,41,17,1,0.061477014644843,1,0.442477876106195,-0.0860882995597586,113,TRUE,7
3601,4.61512051684126,7,9.27646359058272,9.5234467875642,1.80594148566495,2.12337153338877,4.22238403181086,3.02368039885679,97,16,2,0.0726,0.905,0.33,-0.0191904965025645,100,TRUE,7
3613,4.46590811865458,7,7.19880794427065,7.46084377607377,2.13276619552839,1.79374153290061,2.75511699111502,3.14100119790255,30,15,1,0.075716603569497,1,0.36046511627907,0.0798565502988789,86,TRUE,7
3619,4.0943445622221,7,7.12242355478606,8.25010258078773,4.6248721872998,1.72719067240795,1.57916056337086,4.21959157004988,6,13,1,0.0858948577994829,1,0.661016949152542,-0.0793508100094331,59,TRUE,7
