"AGENCY_ID","log_n_train_rows","n_train_years_active","n_train_rows","has_trend_support","n_years_for_trend","mean_log_wp_train","median_log_wp_train","mean_log_prev_wp_train","median_log_prev_wp_train","mean_log_prev_poly_train","median_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train","agency_appointment_year","mean_max_age_train","mean_min_age_train","n_products_train","n_states_train","n_vendors_train","top_product_share","product_hhi","top_state_share","state_hhi","top_vendor_share","vendor_hhi","pl_share_train","cl_share_train","slope_mean_log_wp_by_year"
8153,5.03043792139244,7,152,TRUE,7,8.17606812351518,7.63496864395244,8.28618165458735,7.83814291759034,2.22271840628183,0,2.47649089891907,3.7115668192703,3.16230656746794,12,1974,86,32,18,2,1,0.0921052631578947,0.0708968144044321,0.677631578947368,0.56310595567867,1,1,0.414473684210526,0.585526315789474,0.111258126787976
8157,5.26785815906333,7,193,TRUE,7,8.46985576171296,8.29854452296329,8.40598008556083,8.46749441458331,1.90591135169196,0,2.41260296296657,3.62872146473302,3.28229366354704,23,2002,77,26,18,4,1,0.0984455958549223,0.0728341700448334,0.528497409326425,0.3959569384413,1,1,0.316062176165803,0.683937823834197,0.101692976266855
8165,4.35670882668959,7,77,TRUE,7,6.80284388540474,6.96602418710611,7.01675529275076,6.98702845987664,2.46998800440647,2.56494935746154,2.023380814879,2.77622157122814,2.57599184925021,9,1981,71,37,12,1,1,0.0909090909090909,0.0888851408331928,1,1,1,1,0.532467532467532,0.467532467532468,-0.0714681126371272
8193,4.39444915467244,7,80,TRUE,7,7.42615185222136,7.01236723958482,7.50832434905423,7.04533629033081,1.94576675685735,0,2.1662086021291,1.98257514316286,2.86189430431898,11,1987,88,39,15,1,1,0.0875,0.0790625,1,1,1,1,0.3875,0.6125,-0.0521446159470586
8201,1.6094379124341,2,4,FALSE,2,5.90111740848877,6.28939597381219,6.11398858619648,6.19061345594278,2.42871654839841,2.56494935746154,0.843756558922086,0.510817394685138,0.323761239197458,2,2004,73,73,3,1,1,0.5,0.375,1,1,1,1,1,0,NA
8207,5.4971682252932,7,243,TRUE,7,8.11139222628067,8.27180403115471,8.29025474092808,8.43765419019464,1.48263066124323,0,2.46762441841233,3.93172690611069,2.71521034566184,65,1993,86,31,18,5,1,0.11522633744856,0.0727700723128249,0.465020576131687,0.341258954427679,1,1,0.283950617283951,0.716049382716049,-0.0201661848057899
8208,4.65396035015752,7,104,TRUE,7,8.54666555773055,8.96183095016229,8.68234084446206,9.08667705695893,1.48955461484534,0,2.11397012438766,2.89209389490003,2.21264647385398,193,1989,88,27,16,1,1,0.0673076923076923,0.0658284023668639,1,1,1,1,0.413461538461538,0.586538461538462,-0.0774771829471387
8221,2.30258509299405,3,9,TRUE,3,6.8346200728736,8.01537686180783,9.49067892784822,8.7869561716055,6.79712051704077,5.09375020080676,2.21298288256452,2.90347619455758,3.57990686417027,7,2004,69,46,5,1,1,0.333333333333333,0.259259259259259,1,1,1,1,0.666666666666667,0.333333333333333,-1.42605006529465
8222,3.3322045101752,7,27,TRUE,7,7.65694254562854,7.39878627541995,7.88049095046957,7.85107734990732,3.41931064737701,3.89182029811063,1.55309062730823,1.71900565529544,2.08949351854932,3,1999,58,50,5,1,1,0.259259259259259,0.226337448559671,1,1,1,1,0.777777777777778,0.222222222222222,-0.116006974823661
8233,4.31748811353631,7,74,TRUE,7,6.81922628359816,6.63825700021579,7.24223842842053,6.9688600466553,2.13669525959525,0,1.57141711868825,2.65321869922264,3.16779261272629,32,2003,73,36,14,1,1,0.0945945945945946,0.0836376917457999,1,1,1,1,0.364864864864865,0.635135135135135,0.0442358376556774
